City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Udalguri,90,IN,1562988851,68.66,4.23,26.75,92.1,97
Faya,5,SA,1562988853,69.8,3.53,18.39,42.45,63
Fort Dodge,1,US,1562988853,77,4.23,42.5,-94.17,83
Yeppoon,33,AU,1562988808,78.8,10.29,-23.13,150.74,24
Coahuayana,99,MX,1562988854,74.78,2.15,18.62,-100.35,84
Talnakh,75,RU,1562988477,60.8,17.9,69.49,88.39,72
Maniitsoq,100,GL,1562988855,44.18,15.1,65.42,-52.9,81
Belyy Yar,0,RU,1562988856,68,6.71,53.6,91.39,64
Kamenka,29,MD,1562988857,48.99,2.55,48.03,28.7,92
Atar,0,MR,1562988858,89.9,6.87,20.52,-13.05,25
Deer Lake,5,CA,1562988858,51.8,2.24,49.18,-57.43,87
Saint-Augustin,75,CA,1562988520,72,2.24,45.63,-73.98,88
Ponta do Sol,0,BR,1562988468,56.78,1.32,-20.63,-46,61
Bandarbeyla,100,SO,1562988859,79.28,27.87,9.49,50.81,57
Norman Wells,20,CA,1562988478,64.4,3.36,65.28,-126.83,39
Ust-Maya,0,RU,1562988861,90.26,1.86,60.42,134.54,35
Chernaya Kholunitsa,100,RU,1562988861,56.42,4.88,58.85,51.72,98
Chongwe,0,ZM,1562988862,46.4,2.24,-15.33,28.68,61
Vardo,1,US,1562988442,75.2,4.7,39.62,-77.74,77
Port Lincoln,58,AU,1562988491,54.26,21.74,-34.72,135.86,62
Marystown,100,CA,1562988576,50.48,5.86,47.17,-55.16,92
Honiara,75,SB,1562988864,91.4,13.87,-9.43,159.96,59
Flinders,40,AU,1562988865,57.99,28.86,-34.58,150.85,35
Kavieng,100,PG,1562988184,78.02,6.33,-2.57,150.8,86
Ewa Beach,20,US,1562988454,88,18.34,21.32,-158.01,48
Coihaique,90,CL,1562988742,33.8,2.24,-45.58,-72.07,100
Narsaq,75,GL,1562988474,48.2,2.24,60.91,-46.05,76
Guangyuan,0,CN,1562988875,83.96,2.3,32.43,105.86,50
Nurota,0,UZ,1562988459,93.2,3.96,40.56,65.69,16
Port Hedland,0,AU,1562988473,80.6,19.46,-20.31,118.58,11
Puerto Madero,0,AR,1562988878,53.6,5.82,-34.61,-58.36,81
Saint-Georges,8,CA,1562988479,66.99,6.42,46.12,-70.67,90
Karangasem,0,ID,1562988880,87.92,6.51,-6.7,108.49,43
Te Anau,100,NZ,1562988880,45.98,3.49,-45.41,167.72,94
Barrow,0,AR,1562988450,42.2,4.92,-38.31,-60.23,77
Okha,82,RU,1562988882,58.58,8.41,53.59,142.95,76
Los Alamos,96,US,1562988882,84.99,5.82,35.88,-106.3,21
Grand Forks,1,US,1562988907,71.6,2.46,47.91,-97.06,83
Aksarayskiy,75,RU,1562988908,66.2,11.18,46.79,48.01,63
Pedernales,77,EC,1562988909,74.42,11.43,0.07,-80.05,84
Nome,40,US,1562988509,87.01,3.36,30.04,-94.42,94
Lumajang,0,ID,1562988910,71,4.07,-8.14,113.22,45
La Palma,100,CO,1562988911,68.48,1.79,5.36,-74.39,95
Tutoia,2,BR,1562988911,71.9,3.27,-2.76,-42.27,95
Sao Joaquim,74,BR,1562988915,50,2.48,-28.29,-49.93,99
Ilhabela,0,BR,1562988464,70.64,7.54,-23.78,-45.36,65
Karpathos,0,GR,1562988439,73.4,25.28,35.51,27.21,64
Khao Yoi,20,TH,1562988917,91,4.7,13.24,99.82,52
Zamora,0,ES,1562988917,78.01,1.12,41.51,-5.74,77
Garowe,62,SO,1562988918,76.4,25.7,8.41,48.48,52
Santa Rosalia,0,IT,1562988919,82,3.36,38.07,13.27,60
Tezu,100,IN,1562988525,71.36,4.16,27.93,96.16,98
Coquimbo,0,CL,1562988920,51.01,4.7,-29.95,-71.34,87
Banda Aceh,100,ID,1562988312,84.5,13.11,5.56,95.32,70
Ariquemes,12,BR,1562988921,75.68,0.85,-9.91,-63.03,68
Kalanguy,0,RU,1562988922,81.44,8.95,51.01,116.52,34
Keti Bandar,100,PK,1562988923,83.6,19.26,24.14,67.45,82
Abalak,0,NE,1562988924,84.86,14.56,15.46,6.28,52
Chernyshevskiy,100,RU,1562988924,65.24,4.14,63.01,112.47,82
Tete,20,MZ,1562988925,51.8,4.7,-16.16,33.59,93
Salo,0,FI,1562988925,55,3.36,60.38,23.13,87
Puerto Escondido,90,MX,1562988926,78.8,9.17,15.86,-97.07,83
Khasan,32,RU,1562988867,76.94,5.97,42.43,130.64,71
Ishigaki,40,JP,1562988535,87.8,19.46,24.34,124.16,79
Havoysund,81,NO,1562988927,50,16.11,71,24.66,61
Menongue,2,AO,1562988424,47.6,4.59,-14.66,17.68,47
Rangapara,100,IN,1562988928,72.62,3.56,26.82,92.69,99
Laguna,40,BZ,1562988520,78.8,2.73,16.17,-88.94,88
Vao,87,EE,1562988929,52.64,7.05,59.1,26.19,70
Goragorskiy,75,RU,1562988929,62.6,6.71,43.5,45.08,93
Ambilobe,0,MG,1562988509,67.04,7.87,-13.19,49.05,70
Makakilo City,75,US,1562988931,88,11.41,21.35,-158.09,58
Andover,1,US,1562988841,79,9.08,45.23,-93.29,64
Morehead,1,US,1562988544,75.2,2.77,38.18,-83.43,64
Borzya,0,RU,1562988932,86.3,11.32,50.39,116.53,24
Bonavista,100,CA,1562988806,51.02,10.69,48.65,-53.11,86
Suluq,0,LY,1562988933,76.4,9.22,31.67,20.25,67
Champerico,90,MX,1562988781,71.6,4.7,16.38,-93.6,94
De Aar,0,ZA,1562988934,48.86,5.77,-30.65,24.01,30
Tonstad,75,NO,1562988934,55.99,8.05,58.66,6.71,87
Manaus,0,BR,1562988967,78.8,2.24,-3.13,-59.98,88
Ukiah,1,US,1562988955,82.4,6.93,39.15,-123.21,34
Indian Head,0,CA,1562988968,68,3.22,50.53,-103.67,71
Homestead,90,US,1562988788,84.2,4.7,25.47,-80.48,83
Necochea,7,AR,1562988811,48.99,1.99,-38.55,-58.74,91
Rio Grande,27,BR,1562988494,59.3,5.32,-32.03,-52.1,96
Margate,75,AU,1562988507,46.4,17.22,-43.03,147.26,65
Jinchang,4,CN,1562988971,74.96,5.7,38.52,102.19,28
Zhigansk,100,RU,1562988939,66.14,16.37,66.77,123.37,61
Bogorodskoye,92,RU,1562988972,69.38,2.24,52.37,140.44,66
Saint-Leu,0,RE,1562988973,64.4,9.17,-21.15,55.28,55
Biu,78,NG,1562988973,70.1,1.12,10.61,12.19,88
Nhulunbuy,90,AU,1562988502,78.8,19.46,-12.18,136.78,57
Bela,83,PK,1562988974,77.12,8.48,26.23,66.31,78
Manuk Mangkaw,11,PH,1562988975,82.7,10.47,4.8,119.85,71
Roberval,90,CA,1562988975,66,5.82,48.51,-72.22,93
Cabo San Lucas,5,MX,1562988460,87.8,9.17,22.89,-109.91,27
Deputatskiy,52,RU,1562988976,58.4,11.1,69.3,139.9,71
Marquette,1,US,1562988840,69.8,3.36,46.54,-87.4,88
Manakara,61,MG,1562988977,62.72,3.2,-22.14,48.01,79
Tabas,18,IR,1562988977,95,2.24,33.6,56.92,15
Saint-Francois,0,FR,1562988947,57.99,3.11,46.42,3.91,93
Bang Saphan,40,TH,1562988908,87.8,9.17,11.21,99.51,66
Sibolga,0,ID,1562988978,81.44,4.76,1.74,98.78,74
Tamiahua,100,MX,1562988979,81.26,11.05,21.28,-97.45,84
Havre-Saint-Pierre,90,CA,1562988909,55.4,9.17,50.23,-63.6,100
Eyl,12,SO,1562988541,77.84,26.84,7.98,49.82,57
Danielskuil,0,ZA,1562988980,49.4,7.14,-28.19,23.54,32
Carauari,25,BR,1562988981,71.72,2.26,-4.88,-66.9,96
Khandagayty,100,MN,1562988982,52.28,4.45,50.73,92.07,85
Kuusamo,90,FI,1562988982,44.6,4.7,65.96,29.19,87
Tautira,75,PF,1562988520,77,5.82,-17.73,-149.15,83
Rodino,1,RU,1562988983,71.9,13.62,52.5,80.2,58
Henties Bay,0,NA,1562988457,54,3,-22.12,14.28,96
Tahe,28,CN,1562988984,83.24,4.43,52.34,124.71,37
Imbituba,0,BR,1562988985,64.4,9.17,-28.24,-48.67,93
Ugoofaaru,75,MV,1562988952,83.96,5.39,5.67,73,69
Tiangua,0,BR,1562988986,69.74,0.98,-3.73,-40.99,86
Nagato,75,JP,1562988986,70,12.75,34.35,131.14,100
